Experiment id: 03798b7a-e102-4874-b3b4-3d2adfa90efd
Performance Test Version: 2113db4
Logfile name: 5a65d065-f5db-4dc9-b45a-0cb270cf4d29.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_fastrtps_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 20
Topic name: Struct16
Msg name: Struct16
Maximum runtime (sec): 30
Number of publishers: 1
Number of subscribers: 3
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.000603,		1.000100,		57,		19,		0,		0.00,		1917,		0.06844,		0.1013,		0.09008,		1.644e-07,		49.9,		49.91,		49.9,		4.437e-09,		0,		0,		0,		0,		0,		0.04652,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1008,		4,		-0.008209
7.000754,		1.000099,		57,		19,		0,		0.00,		1917,		0.06845,		0.1013,		0.08984,		1.639e-07,		49.9,		49.9,		49.9,		2.694e-10,		0,		0,		0,		0,		0,		0.05108,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1119,		4,		0.08332
8.000877,		1.000085,		57,		19,		0,		0.00,		1917,		0.05721,		0.1015,		0.08925,		1.688e-07,		49.9,		49.91,		49.9,		4.425e-09,		0,		0,		0,		0,		0,		0.05553,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1227,		4,		0
9.001016,		1.000099,		57,		19,		0,		0.00,		1917,		0.07197,		0.1009,		0.09002,		1.568e-07,		49.9,		49.91,		49.9,		9.941e-09,		0,		0,		0,		0,		0,		0.06,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1335,		4,		0
10.001152,		1.000098,		57,		19,		0,		0.00,		1917,		0.06851,		0.101,		0.08994,		1.599e-07,		49.9,		49.91,		49.9,		9.918e-09,		0,		0,		0,		0,		0,		0.06458,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1446,		4,		0.08332
11.001304,		1.000113,		57,		19,		0,		0.00,		1917,		0.06783,		0.1011,		0.08967,		1.62e-07,		49.9,		49.91,		49.9,		4.397e-09,		0,		0,		0,		0,		0,		0.06903,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1554,		4,		0
12.001440,		1.000095,		57,		19,		0,		0.00,		1917,		0.06804,		0.1009,		0.08975,		1.594e-07,		49.9,		49.91,		49.9,		3.641e-09,		0,		0,		0,		0,		0,		0.07351,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1662,		4,		0.08332
13.001593,		1.000113,		57,		19,		0,		0.00,		1917,		0.06866,		0.101,		0.08992,		1.594e-07,		49.9,		49.91,		49.9,		4.048e-09,		0,		0,		0,		0,		0,		0.07807,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1773,		4,		0
14.001732,		1.000100,		57,		19,		0,		0.00,		1917,		0.0685,		0.1011,		0.08993,		1.62e-07,		49.9,		49.91,		49.9,		4.495e-09,		0,		0,		0,		0,		0,		0.08254,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1881,		4,		0.08332
15.001884,		1.000113,		57,		19,		0,		0.00,		1917,		0.06805,		0.1015,		0.08971,		1.613e-07,		49.9,		49.9,		49.9,		1.889e-10,		0,		0,		0,		0,		0,		0.08699,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		1989,		4,		0
16.002018,		1.000095,		57,		19,		0,		0.00,		1917,		0.07072,		0.1007,		0.0898,		1.569e-07,		49.9,		49.9,		49.9,		4.468e-10,		0,		0,		0,		0,		0,		0.09155,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		2100,		4,		0.08332
17.002169,		1.000113,		57,		19,		0,		0.00,		1917,		0.06818,		0.1009,		0.08987,		1.614e-07,		49.9,		49.91,		49.9,		1.181e-08,		0,		0,		0,		0,		0,		0.09601,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		2208,		4,		0
18.002310,		1.000099,		57,		19,		0,		0.00,		1917,		0.064,		0.2135,		0.08904,		4.136e-07,		49.9,		49.9,		49.9,		2.591e-09,		0,		0,		0,		0,		0,		0.1004,		26544,		0,		0,		0,		2913,		0,		0,		8,		8,		0,		0,		0,		2316,		4,		0.08332
19.002459,		1.000101,		57,		19,		0,		0.00,		1917,		0.0536,		0.101,		0.08171,		2.384e-07,		49.9,		49.93,		49.91,		7.708e-08,		0,		0,		0,		0,		0,		0.1046,		26544,		0,		0,		0,		2913,		0,		0,		8,		16,		0,		0,		0,		2427,		4,		0
20.002590,		1.000095,		57,		19,		0,		0.00,		1917,		0.06851,		0.1009,		0.0898,		1.601e-07,		49.89,		49.9,		49.9,		7.541e-09,		0,		0,		0,		0,		0,		0.1091,		26544,		0,		0,		0,		2913,		0,		0,		8,		16,		0,		0,		0,		2535,		4,		0
21.002729,		1.000099,		57,		19,		0,		0.00,		1917,		0.07184,		0.1009,		0.09011,		1.575e-07,		49.9,		49.91,		49.9,		1.089e-08,		0,		0,		0,		0,		0,		0.1136,		26544,		0,		0,		0,		2913,		0,		0,		8,		16,		0,		0,		0,		2643,		4,		0.08332
22.002867,		1.000098,		57,		19,		0,		0.00,		1917,		0.07061,		0.1009,		0.09,		1.567e-07,		49.9,		49.9,		49.9,		2.03e-10,		0,		0,		0,		0,		0,		0.1182,		26544,		0,		0,		0,		2913,		0,		0,		8,		16,		0,		0,		0,		2754,		4,		0
23.003017,		1.000113,		57,		19,		0,		0.00,		1917,		0.05305,		0.2487,		0.09159,		5.857e-07,		49.9,		49.91,		49.9,		7.934e-09,		0,		0,		0,		0,		0,		0.1228,		26544,		0,		0,		0,		2913,		0,		0,		8,		16,		0,		0,		0,		2862,		4,		0.08332
