Experiment id: 76fae7d0-7cc4-480f-b323-cbecd09c52a9
Performance Test Version: 2113db4
Logfile name: b0340af7-8506-4eb8-8e0d-4f4b79d13543.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 20
Topic name: Struct16
Msg name: Struct16
Maximum runtime (sec): 30
Number of publishers: 1
Number of subscribers: 10
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
20.002302,		1.000086,		190,		19,		0,		0.00,		6390,		0.04713,		0.219,		0.1159,		4.875e-06,		49.88,		49.88,		49.88,		1.496e-10,		0,		0,		0,		0,		0.4839,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		7616,		8,		0.1666
21.002428,		1.000086,		190,		19,		0,		0.00,		6390,		0.04686,		0.2146,		0.1166,		4.88e-06,		49.88,		49.88,		49.88,		1.678e-10,		0,		0,		0,		0,		0.5068,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		7969,		8,		0.1666
22.002550,		1.000085,		190,		19,		0,		0.00,		6390,		0.04313,		0.2169,		0.1179,		4.893e-06,		49.88,		49.91,		49.88,		3.009e-08,		0,		0,		0,		0,		0.5298,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		8342,		8,		0.1666
23.002678,		1.000086,		190,		19,		0,		0.00,		6390,		0.04674,		0.2264,		0.117,		4.8e-06,		49.88,		49.88,		49.88,		1.606e-10,		0,		0,		0,		0,		0.5529,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		8692,		8,		0.25
24.002804,		1.000086,		190,		19,		0,		0.00,		6390,		0.04642,		0.2225,		0.1169,		4.822e-06,		49.88,		49.89,		49.88,		4.022e-09,		0,		0,		0,		0,		0.5766,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		9062,		8,		0.1666
25.002930,		1.000086,		190,		19,		0,		0.00,		6390,		0.04023,		0.215,		0.1171,		4.987e-06,		49.88,		49.88,		49.88,		1.554e-10,		0,		0,		0,		0,		0.5999,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		9417,		8,		0.1666
26.003054,		1.000085,		190,		19,		0,		0.00,		6390,		0.04723,		0.228,		0.1174,		4.868e-06,		49.88,		49.91,		49.88,		3.915e-08,		0,		0,		0,		0,		0.6231,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		9783,		8,		0.25
27.003181,		1.000086,		190,		19,		0,		0.00,		6390,		0.047,		0.2127,		0.1167,		4.81e-06,		49.88,		49.88,		49.88,		3.216e-10,		0,		0,		0,		0,		0.6467,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		10132,		8,		0.1666
28.003305,		1.000086,		190,		19,		0,		0.00,		6390,		0.0469,		0.2243,		0.117,		4.852e-06,		49.88,		49.89,		49.88,		3.726e-09,		0,		0,		0,		0,		0.6702,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		10484,		8,		0.25
29.003431,		1.000080,		190,		19,		0,		0.00,		6390,		0.04265,		0.2129,		0.1154,		4.744e-06,		49.88,		49.91,		49.89,		3.953e-08,		0,		0,		0,		0,		0.6935,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		10841,		8,		0.1666
30.003550,		1.000086,		190,		19,		0,		0.00,		6390,		0.03763,		0.2132,		0.1122,		4.616e-06,		49.87,		49.89,		49.88,		1.268e-08,		0,		0,		0,		0,		0.7154,		0,		20456,		0,		0,		0,		1774,		0,		0,		8,		16,		0,		0,		0,		11191,		8,		0.1666
