Experiment id: f304951c-ae7f-44ab-9617-0f2a0517e8ad
Performance Test Version: 
Logfile name: 52399634-260c-4c75-b91d-d0a0087c9cee.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_fastrtps_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 0
Topic name: Struct32k
Msg name: Struct32k
Maximum runtime (sec): 30
Number of publishers: 1
Number of subscribers: 1
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
18.063963,		1.002081,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-4.43e+04,		9.223e+12,		4.611e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		46906250000,		2265625000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.355
19.069349,		1.005337,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-4.531e+04,		9.223e+12,		4.613e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		47921875000,		2328125000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		8.936
20.070610,		1.001202,		0,		4833,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-4.631e+04,		9.223e+12,		4.612e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		48937500000,		2421875000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.233
21.073975,		1.003313,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-4.731e+04,		9.223e+12,		4.611e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		49984375000,		2484375000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.214
22.077206,		1.003185,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-4.832e+04,		9.223e+12,		4.612e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		51062500000,		2531250000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.345
23.078350,		1.001099,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-4.932e+04,		9.223e+12,		4.612e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		52109375000,		2578125000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.104
24.080746,		1.002349,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.032e+04,		9.223e+12,		4.612e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		53125000000,		2687500000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.353
25.081991,		1.001200,		0,		4835,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.132e+04,		9.223e+12,		4.612e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		54203125000,		2703125000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.103
26.086252,		1.004202,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.233e+04,		9.223e+12,		4.613e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		55296875000,		2734375000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.335
27.091019,		1.004717,		0,		4833,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.333e+04,		9.223e+12,		4.611e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		56328125000,		2796875000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.071
28.106630,		1.015563,		0,		4835,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.435e+04,		9.223e+12,		4.613e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		57421875000,		2843750000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.359
29.109846,		1.003144,		0,		4834,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.535e+04,		9.223e+12,		4.612e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		58531250000,		2875000000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.475
30.126602,		1.016711,		0,		4833,		0,		0.00,		0,		inf,		-inf,		0,		-nan(ind),		-5.637e+04,		9.223e+12,		4.611e+12,		2.127e+22,		inf,		-inf,		0,		-nan(ind),		59593750000,		2921875000,		32812,		0,		0,		0,		0,		8457,		0,		0,		0,		0,		0,		0,		0,		0,		9.092
