Experiment id: db0fe7eb-d420-4c12-aa26-51b3248854d2
Performance Test Version: 
Logfile name: 21cd6fd8-b3ff-4738-b6e9-cd895f88096b.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 500
Topic name: Array2m
Msg name: Array2m
Maximum runtime (sec): 30
Number of publishers: 1
Number of subscribers: 10
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.022943,		1.002394,		3710,		391,		192,		0.49,		7782807767,		247.3,		265.8,		255.7,		0.01393,		-1151,		-932.9,		-1041,		3.881,		0,		0,		0,		0,		14500000000,		47000000000,		264656,		0,		0,		0,		0,		12705565,		0,		0,		0,		0,		0,		0,		0,		0,		0
7.025402,		1.002142,		3688,		391,		214,		0.55,		7736303327,		249.6,		266.2,		255.9,		0.01176,		-1369,		-1153,		-1259,		3.882,		0,		0,		0,		0,		16609375000,		55281250000,		264656,		0,		0,		0,		0,		14804570,		0,		0,		0,		0,		0,		0,		0,		0,		86.39
8.030483,		1.004905,		3702,		391,		200,		0.51,		7766184542,		247.9,		265.5,		255.8,		0.008589,		-1588,		-1369,		-1477,		3.976,		0,		0,		0,		0,		19093750000,		63343750000,		264832,		0,		0,		0,		0,		16916905,		0,		0,		0,		0,		0,		0,		0,		0,		87.45
9.047823,		1.017209,		3714,		395,		219,		0.55,		7800446532,		245.8,		266.1,		254.4,		0.0217,		-1802,		-1588,		-1692,		3.901,		0,		0,		0,		0,		21718750000,		71218750000,		264832,		0,		0,		0,		0,		19064357,		0,		0,		0,		0,		0,		0,		0,		0,		86.01
10.049977,		1.002039,		3722,		394,		216,		0.55,		7809788072,		246.9,		263.4,		253.8,		0.01236,		-2012,		-1803,		-1907,		3.652,		0,		0,		0,		0,		24031250000,		78984375000,		264832,		0,		0,		0,		0,		21183166,		0,		0,		0,		0,		0,		0,		0,		0,		83.8
11.065611,		1.015525,		3716,		392,		207,		0.53,		7797009404,		246.4,		269,		254.5,		0.02451,		-2230,		-2013,		-2118,		4.025,		0,		0,		0,		0,		26296875000,		87203125000,		264832,		0,		0,		0,		0,		23324609,		0,		0,		0,		0,		0,		0,		0,		0,		86.02
12.070070,		1.004336,		3712,		394,		217,		0.55,		7791898025,		245.8,		268.4,		252.2,		0.01623,		-2443,		-2231,		-2330,		3.556,		0,		0,		0,		0,		28875000000,		94875000000,		264832,		0,		0,		0,		0,		25444442,		0,		0,		0,		0,		0,		0,		0,		0,		85.04
13.072497,		1.002306,		3715,		394,		210,		0.53,		7793018741,		248.5,		267.9,		255.8,		0.01612,		-2656,		-2443,		-2547,		3.801,		0,		0,		0,		0,		31453125000,		102531250000,		264832,		0,		0,		0,		0,		27557815,		0,		0,		0,		0,		0,		0,		0,		0,		85.08
14.073591,		1.000883,		3712,		393,		205,		0.52,		7797139746,		245,		270.2,		254.2,		0.03569,		-2871,		-2657,		-2757,		3.782,		0,		0,		0,		0,		34359375000,		109828125000,		264832,		0,		0,		0,		0,		29668857,		0,		0,		0,		0,		0,		0,		0,		0,		84.93
15.075887,		1.002157,		3702,		392,		207,		0.53,		7766857781,		247,		268.2,		255.7,		0.02153,		-3085,		-2871,		-2975,		3.862,		0,		0,		0,		0,		36828125000,		117921875000,		264832,		0,		0,		0,		0,		31778666,		0,		0,		0,		0,		0,		0,		0,		0,		87.82
16.076962,		1.000910,		3707,		392,		204,		0.52,		7786809719,		246.2,		268.5,		255.5,		0.03013,		-3302,		-3086,		-3191,		3.915,		0,		0,		0,		0,		39468750000,		125578125000,		264832,		0,		0,		0,		0,		33885446,		0,		0,		0,		0,		0,		0,		0,		0,		85.72
17.081522,		1.004417,		3698,		393,		223,		0.57,		7761867024,		244.6,		269.7,		254.2,		0.02107,		-3516,		-3302,		-3405,		3.816,		0,		0,		0,		0,		41781250000,		133671875000,		264832,		0,		0,		0,		0,		35995673,		0,		0,		0,		0,		0,		0,		0,		0,		86.33
18.086374,		1.004624,		3700,		393,		221,		0.56,		7763801977,		247.5,		267.3,		254.8,		0.01558,		-3730,		-3515,		-3622,		3.848,		0,		0,		0,		0,		44421875000,		141265625000,		264832,		0,		0,		0,		0,		38107819,		0,		0,		0,		0,		0,		0,		0,		0,		84.87
19.101728,		1.015189,		3704,		390,		195,		0.50,		7774362065,		248.1,		265.3,		256.3,		0.009781,		-3952,		-3731,		-3841,		4.145,		0,		0,		0,		0,		46859375000,		149234375000,		264832,		0,		0,		0,		0,		40241727,		0,		0,		0,		0,		0,		0,		0,		0,		85.41
20.106499,		1.004612,		3689,		392,		214,		0.55,		7741462133,		246.7,		267.4,		255.5,		0.01693,		-4171,		-3953,		-4059,		4.04,		0,		0,		0,		0,		49000000000,		157390625000,		264832,		0,		0,		0,		0,		42346531,		0,		0,		0,		0,		0,		0,		0,		0,		85.4
21.107616,		1.001000,		3702,		392,		207,		0.53,		7776008498,		245.7,		265.1,		254.7,		0.01394,		-4386,		-4172,		-4274,		3.873,		0,		0,		0,		0,		51593750000,		165062500000,		264832,		0,		0,		0,		0,		44453687,		0,		0,		0,		0,		0,		0,		0,		0,		85.45
22.110306,		1.002568,		3720,		396,		229,		0.58,		7811909413,		243,		268.2,		252.1,		0.02721,		-4593,		-4386,		-4486,		3.388,		0,		0,		0,		0,		54437500000,		172437500000,		264832,		0,		0,		0,		0,		46575301,		0,		0,		0,		0,		0,		0,		0,		0,		84.93
23.116539,		1.006100,		3681,		392,		226,		0.58,		7734372900,		248.5,		266.2,		255.8,		0.01185,		-4809,		-4593,		-4699,		3.98,		0,		0,		0,		0,		56890625000,		180265625000,		264832,		0,		0,		0,		0,		48683534,		0,		0,		0,		0,		0,		0,		0,		0,		85.15
24.120123,		1.003309,		3725,		394,		213,		0.54,		7825853662,		245.7,		266,		253.6,		0.01907,		-5019,		-4810,		-4912,		3.698,		0,		0,		0,		0,		59609375000,		187906250000,		264832,		0,		0,		0,		0,		50807654,		0,		0,		0,		0,		0,		0,		0,		0,		86.02
25.122116,		1.001804,		3677,		388,		190,		0.49,		7716890852,		247.9,		270.6,		257.2,		0.02775,		-5243,		-5020,		-5129,		4.137,		0,		0,		0,		0,		62000000000,		195875000000,		264832,		0,		0,		0,		0,		52900523,		0,		0,		0,		0,		0,		0,		0,		0,		86.16
