Experiment id: 54d14bf5-cb96-4d59-a638-398cbd85adf9
Performance Test Version: 2fc8cc2
Logfile name: logs/interhost_main_PointCloud4m_20_reliable.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_fastrtps_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 16 Sync. pub/sub: 0
Publishing rate: 20
Topic name: PointCloud4m
Msg name: PointCloud4m
Maximum runtime (sec): 35
Number of publishers: 1
Number of subscribers: 1
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: MAIN
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.000661,		1.000102,		0,		26,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-1679,		-1309,		-1478,		12.11,		0,		0,		0,		0,		0.4226,		0.8699,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		1470,		26,		0.00521
7.000874,		1.000100,		0,		8,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-1820,		-1521,		-1666,		10.49,		0,		0,		0,		0,		0.4697,		1.016,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		1577,		35,		2.375
8.001068,		1.000108,		0,		5,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-2535,		-1968,		-2152,		36.94,		0,		0,		0,		0,		0.5022,		1.166,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		1679,		41,		2.375
9.001281,		1.000106,		0,		10,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-3030,		-2564,		-2870,		17.96,		0,		0,		0,		0,		0.5557,		1.318,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		1796,		46,		2.499
10.001493,		1.000124,		0,		25,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-3102,		-2729,		-2938,		12.07,		0,		0,		0,		0,		0.6077,		1.495,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		1987,		52,		2.874
11.001682,		1.000101,		0,		21,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-2741,		-2500,		-2602,		4.242,		0,		0,		0,		0,		0.6519,		1.66,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		2156,		58,		2.749
12.001880,		1.000107,		0,		7,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-3091,		-2692,		-2901,		25.56,		0,		0,		0,		0,		0.6854,		1.825,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		2261,		62,		2.375
13.002091,		1.000109,		0,		8,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-3734,		-3242,		-3525,		19.85,		0,		0,		0,		0,		0.7447,		1.959,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		2380,		64,		2.374
14.002294,		1.000102,		0,		22,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-3918,		-3635,		-3778,		5.143,		0,		0,		0,		0,		0.7755,		2.145,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		2561,		72,		2.749
15.002488,		1.000102,		0,		16,		0,		0.00,		0,		inf,		-inf,		0,		-nan,		-3755,		-3573,		-3632,		2.154,		0,		0,		0,		0,		0.8196,		2.301,		106188,		0,		0,		0,		22791,		0,		0,		0,		8,		0,		0,		0,		2702,		77,		2.5
