Experiment id: 91e80b78-6479-4edd-9a4e-4955c4dc20ee
Performance Test Version: 2113db4
Logfile name: sub_node_2_rmw_cyclonedds_cpp_5.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: TRANSIENT_LOCAL History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 500
Topic name: Struct162
Msg name: Struct16
Maximum runtime (sec): 30
Number of publishers: 0
Number of subscribers: 1
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.000355,		1.000060,		499,		0,		0,		-nan,		15999,		0.02757,		0.05834,		0.03489,		1.481e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.1349,		13636,		0,		0,		0,		1073,		0,		0,		0,		8,		0,		0,		0,		6548,		48,		-0.02465
7.000457,		1.000059,		499,		0,		0,		-nan,		15998,		0.02522,		0.06888,		0.03361,		1.693e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.1532,		13636,		0,		0,		0,		1074,		0,		0,		0,		8,		0,		0,		0,		7549,		48,		0.1666
8.000545,		1.000059,		499,		0,		0,		-nan,		15998,		0.02534,		0.05766,		0.03227,		2.392e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.1714,		13636,		0,		0,		0,		1075,		0,		0,		0,		8,		0,		0,		0,		8560,		48,		0.1667
9.000631,		1.000057,		499,		0,		0,		-nan,		15998,		0.02324,		0.05003,		0.0322,		1.829e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.1881,		13636,		0,		0,		0,		1076,		0,		0,		0,		8,		0,		0,		0,		9579,		48,		0.08333
10.000721,		1.000058,		500,		0,		0,		-nan,		16030,		0.0256,		0.04592,		0.03138,		7.435e-09,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.2047,		13636,		0,		0,		0,		1076,		0,		0,		0,		8,		0,		0,		0,		10588,		48,		0.1667
11.000809,		1.000059,		499,		0,		0,		-nan,		15998,		0.02261,		0.04382,		0.03119,		7.356e-09,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.2206,		13636,		0,		0,		0,		1076,		0,		0,		0,		8,		0,		0,		0,		11591,		48,		0.1667
12.000893,		1.000056,		499,		0,		0,		-nan,		15998,		0.02346,		0.05098,		0.03335,		1.76e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.2376,		13636,		0,		0,		0,		1076,		0,		0,		0,		8,		0,		0,		0,		12592,		48,		0.08333
13.000978,		1.000057,		499,		0,		0,		-nan,		15998,		0.02354,		0.06607,		0.03341,		2.159e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.2547,		13636,		0,		0,		0,		1076,		0,		0,		0,		8,		0,		0,		0,		13605,		50,		0.1667
14.001065,		1.000059,		499,		0,		0,		-nan,		15998,		0.0298,		0.08354,		0.03625,		1.503e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.2736,		13636,		0,		0,		0,		1077,		0,		0,		0,		8,		0,		0,		0,		14614,		50,		0.1667
15.001154,		1.000059,		499,		0,		0,		-nan,		15998,		0.02655,		0.05618,		0.03445,		1.439e-08,		inf,		-inf,		0,		0,		0,		0,		0,		0,		0,		0.2917,		13636,		0,		0,		0,		1077,		0,		0,		0,		8,		0,		0,		0,		15615,		50,		0.1667
