Experiment id: 3ae9fb36-cf9f-4325-873d-34e89395d99f
Performance Test Version: 2fc8cc2-dirty
Logfile name: 6d402530-1336-44db-85d5-6ecee720f82f.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_fastrtps_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 20
Topic name: PointCloud4m
Msg name: PointCloud4m
Maximum runtime (sec): 30
Number of publishers: 0
Number of subscribers: 10
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.058779,		1.009440,		30,		0,		0,		nan,		166299399,		740.1,		894.9,		816.7,		3.083,		inf,		-inf,		0,		0,		0,		0,		0,		0,		1.707,		0.7504,		4433821696,		0,		0,		0,		272947,		7,		0,		0,		0,		16,		32,		0,		31,		9533,		6.474e-05
7.068875,		1.010021,		0,		0,		0,		nan,		41548058,		1964,		1965,		1965,		0.0002267,		inf,		-inf,		0,		0,		0,		0,		0,		0,		1.834,		0.7621,		4433821696,		0,		0,		0,		272947,		7,		0,		0,		0,		18,		36,		0,		35,		10306,		1.733
8.073537,		1.004612,		480,		0,		0,		nan,		2046865213,		544.5,		2656,		1558,		388.7,		inf,		-inf,		0,		0,		0,		0,		0,		0,		2.533,		0.8745,		4446453760,		0,		0,		0,		273718,		7,		0,		0,		0,		18,		36,		0,		35,		11481,		10.08
9.081851,		1.008263,		90,		0,		0,		nan,		416214936,		1286,		1669,		1466,		13.18,		inf,		-inf,		0,		0,		0,		0,		0,		0,		2.733,		0.9102,		4454875136,		0,		0,		0,		274233,		7,		0,		0,		0,		18,		36,		0,		35,		12440,		2.975
10.083787,		1.001523,		330,		0,		0,		nan,		1424138768,		627.5,		2151,		1385,		194.3,		inf,		-inf,		0,		0,		0,		0,		0,		0,		3.261,		0.9864,		4454875136,		0,		0,		0,		274233,		7,		0,		0,		0,		20,		40,		0,		39,		13578,		7.486
11.091949,		1.008123,		70,		0,		0,		nan,		333022147,		766.4,		1127,		951.7,		12.98,		inf,		-inf,		0,		0,		0,		0,		0,		0,		3.437,		1.018,		4454875136,		0,		0,		0,		274233,		7,		0,		0,		0,		20,		40,		0,		39,		14447,		2.48
12.102003,		1.010008,		90,		0,		0,		nan,		415497536,		1538,		1868,		1639,		7.811,		inf,		-inf,		0,		0,		0,		0,		0,		0,		3.648,		1.06,		4454875136,		0,		0,		0,		274233,		7,		0,		0,		0,		20,		40,		0,		39,		15300,		3.218
13.104653,		1.002581,		250,		0,		0,		nan,		1088271035,		1081,		2149,		1607,		101.5,		inf,		-inf,		0,		0,		0,		0,		0,		0,		4.061,		1.132,		4459085824,		0,		0,		0,		274490,		7,		0,		0,		0,		22,		44,		0,		43,		16315,		6.109
14.114375,		1.009659,		350,		0,		0,		nan,		1496285046,		505.5,		1729,		1017,		125,		inf,		-inf,		0,		0,		0,		0,		0,		0,		4.536,		1.22,		4459085824,		0,		0,		0,		274491,		7,		0,		0,		0,		22,		44,		0,		43,		17441,		6.933
15.116254,		1.001834,		0,		0,		0,		nan,		41888790,		1324,		1325,		1325,		0.0002333,		inf,		-inf,		0,		0,		0,		0,		0,		0,		4.634,		1.234,		4459085824,		0,		0,		0,		274491,		7,		0,		0,		0,		22,		44,		0,		43,		18295,		1.372
16.120966,		1.004680,		400,		0,		0,		nan,		1712597700,		621,		1937,		1352,		162.5,		inf,		-inf,		0,		0,		0,		0,		0,		0,		5.228,		1.337,		4463296512,		0,		0,		0,		274748,		7,		0,		0,		0,		24,		48,		0,		47,		19365,		8.585
17.125822,		1.004813,		30,		0,		0,		nan,		167059059,		1515,		1662,		1588,		2.821,		inf,		-inf,		0,		0,		0,		0,		0,		0,		5.354,		1.356,		4463296512,		0,		0,		0,		274748,		7,		0,		0,		0,		24,		48,		0,		47,		20409,		1.866
18.142649,		1.016736,		185,		0,		0,		nan,		804825292,		1262,		2199,		1847,		56.99,		inf,		-inf,		0,		0,		0,		0,		0,		0,		5.709,		1.414,		4463296512,		0,		0,		0,		274748,		7,		0,		0,		0,		24,		48,		0,		47,		21373,		5.04
19.147793,		1.005012,		255,		0,		0,		nan,		1106445013,		534.6,		1720,		1001,		97.64,		inf,		-inf,		0,		0,		0,		0,		0,		0,		6.095,		1.479,		4467507200,		0,		0,		0,		275006,		7,		0,		0,		0,		26,		52,		0,		50,		22442,		5.596
20.155529,		1.007686,		30,		0,		0,		nan,		166581413,		1504,		1961,		1807,		30.94,		inf,		-inf,		0,		0,		0,		0,		0,		0,		6.247,		1.5,		4467507200,		0,		0,		0,		275006,		7,		0,		0,		0,		26,		52,		0,		50,		23282,		2.109
