Experiment id: 813a5253-cb00-4cbb-824b-d833e4a0e936
Performance Test Version: df0e7a3
Logfile name: logs/interhost_relay_Array16k_20_best_effort.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: BEST_EFFORT Durability: VOLATILE History kind: KEEP_LAST History depth: 16 Sync. pub/sub: 0
Publishing rate: 20
Topic name: Array16k
Msg name: Array16k
Maximum runtime (sec): 35
Number of publishers: 1
Number of subscribers: 1
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: RELAY
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.000338,		1.000054,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		7.37e+09,		8.843e+09,		8.107e+09,		1.809e+14,		0,		0,		0,		0,		6.026,		0,		14184,		0,		0,		0,		1323,		0,		0,		0,		8,		0,		0,		0,		395,		8,		-0.003657
7.000453,		1.000055,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		8.843e+09,		1.032e+10,		9.581e+09,		1.813e+14,		0,		0,		0,		0,		7.028,		0,		14184,		0,		0,		0,		1391,		0,		0,		0,		8,		0,		0,		0,		436,		13,		6.249
8.000534,		1.000055,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.032e+10,		1.179e+10,		1.106e+10,		1.811e+14,		0,		0,		0,		0,		8.031,		0,		14272,		0,		0,		0,		1464,		0,		0,		0,		8,		0,		0,		0,		480,		16,		6.312
9.000627,		1.000065,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.179e+10,		1.327e+10,		1.253e+10,		1.81e+14,		0,		0,		0,		0,		9.033,		0,		14536,		0,		0,		0,		1530,		0,		0,		0,		8,		0,		0,		0,		523,		17,		6.249
10.000723,		1.000055,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.327e+10,		1.474e+10,		1.4e+10,		1.809e+14,		0,		0,		0,		0,		10.04,		0,		14800,		0,		0,		0,		1599,		0,		0,		0,		8,		0,		0,		0,		571,		18,		6.249
11.000805,		1.000055,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.474e+10,		1.621e+10,		1.548e+10,		1.809e+14,		0,		0,		0,		0,		11.04,		0,		15064,		0,		0,		0,		1667,		0,		0,		0,		8,		0,		0,		0,		612,		24,		6.249
12.000888,		1.000054,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.621e+10,		1.769e+10,		1.695e+10,		1.81e+14,		0,		0,		0,		0,		12.04,		0,		15064,		0,		0,		0,		1673,		0,		0,		0,		8,		0,		0,		0,		654,		28,		6.312
13.000965,		1.000054,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.769e+10,		1.916e+10,		1.842e+10,		1.809e+14,		0,		0,		0,		0,		13.04,		0,		15064,		0,		0,		0,		1673,		0,		0,		0,		8,		0,		0,		0,		695,		30,		6.25
14.001045,		1.000057,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		1.916e+10,		2.063e+10,		1.99e+10,		1.809e+14,		0,		0,		0,		0,		14.04,		0,		15064,		0,		0,		0,		1673,		0,		0,		0,		8,		0,		0,		0,		736,		33,		6.249
15.001123,		1.000054,		0,		0,		0,		-nan,		0,		inf,		-inf,		0,		-nan,		2.063e+10,		2.211e+10,		2.137e+10,		1.814e+14,		0,		0,		0,		0,		15.05,		0,		15064,		0,		0,		0,		1673,		0,		0,		0,		8,		0,		0,		0,		777,		36,		6.25
