Experiment id: ca383c1e-7ece-4916-bfc8-64f480076e51
Performance Test Version: 
Logfile name: 622c18bd-6be3-489d-be6c-87595cbae97d.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 100
Topic name: PointCloud4m
Msg name: PointCloud4m
Maximum runtime (sec): 30
Number of publishers: 0
Number of subscribers: 10
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.022950,		1.002161,		400,		0,		750,		inf,		1716956839,		948.7,		1008,		984.4,		0.1983,		inf,		-inf,		0,		0,		0,		0,		0,		0,		5140625000,		13484375000,		455628,		0,		0,		0,		0,		4000031,		0,		0,		0,		0,		0,		0,		0,		0,		0
7.028594,		1.005336,		460,		0,		470,		inf,		1961403135,		951,		1011,		985.2,		0.2173,		inf,		-inf,		0,		0,		0,		0,		0,		0,		5734375000,		15921875000,		455628,		0,		0,		0,		0,		4632996,		0,		0,		0,		0,		0,		0,		0,		0,		25.12
8.044248,		1.015571,		580,		0,		480,		inf,		2437917662,		948.5,		1013,		986.5,		0.1831,		inf,		-inf,		0,		0,		0,		0,		0,		0,		6656250000,		18031250000,		455628,		0,		0,		0,		0,		5397011,		0,		0,		0,		0,		0,		0,		0,		0,		24.87
9.048189,		1.003851,		559,		0,		399,		inf,		2378580136,		945.7,		1020,		984.9,		0.2228,		inf,		-inf,		0,		0,		0,		0,		0,		0,		7562500000,		20562500000,		455628,		0,		0,		0,		0,		6147176,		0,		0,		0,		0,		0,		0,		0,		0,		28.53
10.063647,		1.014719,		431,		0,		521,		inf,		1822592136,		956.6,		1010,		990.4,		0.1387,		inf,		-inf,		0,		0,		0,		0,		0,		0,		7875000000,		21875000000,		455628,		0,		0,		0,		0,		6757085,		0,		0,		0,		0,		0,		0,		0,		0,		13.34
11.066961,		1.003228,		370,		0,		500,		inf,		1589500234,		964.7,		1010,		989,		0.09429,		inf,		-inf,		0,		0,		0,		0,		0,		0,		8234375000,		23218750000,		455628,		0,		0,		0,		0,		7295662,		0,		0,		0,		0,		0,		0,		0,		0,		14.15
12.073190,		1.006158,		750,		0,		390,		inf,		3169787574,		947.9,		1013,		985.9,		0.2048,		inf,		-inf,		0,		0,		0,		0,		0,		0,		9328125000,		26906250000,		455628,		0,		0,		0,		0,		8243124,		0,		0,		0,		0,		0,		0,		0,		0,		39.6
13.077447,		1.004173,		170,		0,		660,		inf,		752212650,		972.5,		1004,		992.6,		0.05071,		inf,		-inf,		0,		0,		0,		0,		0,		0,		9703125000,		27703125000,		455628,		0,		0,		0,		0,		8575457,		0,		0,		0,		0,		0,		0,		0,		0,		9.724
14.081537,		1.004012,		500,		0,		650,		inf,		2131629010,		944.6,		1009,		982.7,		0.2491,		inf,		-inf,		0,		0,		0,		0,		0,		0,		10640625000,		29984375000,		455628,		0,		0,		0,		0,		9263927,		0,		0,		0,		0,		0,		0,		0,		0,		26.71
15.083632,		1.001706,		373,		0,		610,		inf,		1603995182,		940.4,		1009,		982.6,		0.2428,		inf,		-inf,		0,		0,		0,		0,		0,		0,		11109375000,		32140625000,		464148,		0,		0,		0,		0,		9816089,		0,		0,		0,		0,		0,		0,		0,		0,		21.83
16.084692,		1.000844,		547,		0,		420,		inf,		2335111345,		941.8,		1018,		980.7,		0.2917,		inf,		-inf,		0,		0,		0,		0,		0,		0,		11781250000,		34562500000,		464148,		0,		0,		0,		0,		10529976,		0,		0,		0,		0,		0,		0,		0,		0,		25.75
17.088999,		1.004234,		430,		0,		410,		inf,		1838652314,		961.1,		1008,		985.9,		0.09082,		inf,		-inf,		0,		0,		0,		0,		0,		0,		12375000000,		36937500000,		464148,		0,		0,		0,		0,		11138083,		0,		0,		0,		0,		0,		0,		0,		0,		24.63
18.090168,		1.001104,		470,		0,		690,		inf,		2012087456,		969.4,		1016,		994.3,		0.1017,		inf,		-inf,		0,		0,		0,		0,		0,		0,		12953125000,		38562500000,		464148,		0,		0,		0,		0,		11786311,		0,		0,		0,		0,		0,		0,		0,		0,		18.34
19.093592,		1.003045,		530,		0,		360,		inf,		2258515134,		960.4,		1013,		989.4,		0.1111,		inf,		-inf,		0,		0,		0,		0,		0,		0,		13750000000,		40953125000,		464148,		0,		0,		0,		0,		12486689,		0,		0,		0,		0,		0,		0,		0,		0,		26.47
