Experiment id: f0e53f03-eaf6-4af0-816a-4e40cf4b7c38
Performance Test Version: 
Logfile name: 08336653-5744-4bb0-a543-70924d28033e.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_fastrtps_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 0
Topic name: Struct16
Msg name: Struct16
Maximum runtime (sec): 30
Number of publishers: 0
Number of subscribers: 1
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.025388,		1.002120,		168411,		0,		336334,		inf,		5389180,		0.011,		0.8014,		0.3238,		4.881e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		10687500000,		1500000000,		19100,		0,		0,		0,		0,		5035,		0,		0,		0,		0,		0,		0,		0,		0,		0
7.027627,		1.002131,		173978,		0,		336034,		inf,		5567311,		0.0152,		1.135,		0.3254,		3.744e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		12390625000,		1796875000,		19144,		0,		0,		0,		0,		5046,		0,		0,		0,		0,		0,		0,		0,		0,		16.63
8.038535,		1.010867,		174334,		0,		328805,		inf,		5578699,		0.0148,		0.7883,		0.321,		4.692e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		14093750000,		2093750000,		19144,		0,		0,		0,		0,		5046,		0,		0,		0,		0,		0,		0,		0,		0,		16.49
9.262517,		1.000195,		177454,		0,		327982,		inf,		5678540,		0.0116,		0.653,		0.3223,		3.485e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		16343750000,		2312500000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		16.81
16.263887,		1.002748,		172191,		0,		334309,		inf,		5510126,		0.0111,		1.146,		0.3223,		4.433e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		28843750000,		3937500000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		16.81
17.264959,		1.001016,		164706,		0,		357317,		inf,		5270606,		0.0162,		0.8199,		0.3273,		3.879e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		30484375000,		4265625000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		16.39
18.270357,		1.005353,		171451,		0,		345731,		inf,		5486442,		0.0161,		0.7918,		0.3267,		3.391e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		32218750000,		4531250000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		16.58
19.275587,		1.005179,		175167,		0,		329034,		inf,		5605368,		0.0134,		0.8058,		0.3237,		4.039e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		34062500000,		4687500000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		16.58
20.277737,		1.002100,		161521,		0,		353387,		inf,		5168703,		0.0137,		1.605,		0.3316,		5.239e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		35921875000,		4843750000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		16.76
21.279825,		1.002042,		175085,		0,		325483,		inf,		5602723,		0.0138,		0.7544,		0.3246,		3.999e-06,		inf,		-inf,		0,		0,		0,		0,		0,		0,		37703125000,		5140625000,		19152,		0,		0,		0,		0,		5048,		0,		0,		0,		0,		0,		0,		0,		0,		17.28
