Experiment id: 5de8816e-563a-4c6f-87d9-05b649562910
Performance Test Version: 2113db4
Logfile name: 7ab6a3f7-466d-4e25-940e-d0cee3a69ed5.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 100
Topic name: PointCloud4m
Msg name: PointCloud4m
Maximum runtime (sec): 30
Number of publishers: 1
Number of subscribers: 3
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
20.006824,		1.000123,		246,		81,		0,		0.00,		1044556874,		23.67,		25.09,		24.14,		8.439e-05,		-3492,		-3320,		-3406,		2.523,		0,		0,		0,		0,		79.21,		0.3753,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		2824,		2268,		99.46
21.007145,		1.000095,		246,		82,		0,		0.00,		1044657375,		23.72,		24.53,		24.08,		3.308e-05,		-3663,		-3494,		-3577,		2.425,		0,		0,		0,		0,		83.19,		0.3832,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		2947,		2382,		99.22
22.007507,		1.000083,		246,		82,		0,		0.00,		1044612510,		23.63,		24.71,		24.11,		4.756e-05,		-3834,		-3665,		-3749,		2.467,		0,		0,		0,		0,		87.15,		0.3871,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3080,		2492,		99.46
23.007870,		1.000125,		243,		82,		0,		0.00,		1032029549,		23.65,		24.62,		24.12,		4.421e-05,		-4005,		-3837,		-3921,		2.418,		0,		0,		0,		0,		91.08,		0.4311,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3206,		2600,		99.21
24.008360,		1.000150,		246,		82,		0,		0.00,		1044478127,		23.69,		25.01,		24.16,		4.552e-05,		-4179,		-4007,		-4093,		2.519,		0,		0,		0,		0,		95.05,		0.4311,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3339,		2718,		99.2
25.008764,		1.000088,		246,		81,		0,		0.00,		1044565935,		23.71,		24.94,		24.18,		5.318e-05,		-4354,		-4181,		-4268,		2.56,		0,		0,		0,		0,		98.99,		0.4631,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3472,		2838,		99.21
26.009073,		1.000088,		246,		82,		0,		0.00,		1044669076,		23.67,		24.75,		24.14,		4.116e-05,		-4525,		-4356,		-4441,		2.436,		0,		0,		0,		0,		103,		0.4671,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3601,		2950,		99.22
27.009420,		1.000125,		243,		82,		0,		0.00,		1032042025,		23.66,		24.53,		24.07,		3.954e-05,		-4696,		-4527,		-4611,		2.416,		0,		0,		0,		0,		106.9,		0.4911,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3726,		3056,		99.21
28.009871,		1.000147,		246,		82,		0,		0.00,		1044524830,		23.64,		24.94,		24.19,		6.634e-05,		-4872,		-4698,		-4784,		2.597,		0,		0,		0,		0,		110.9,		0.5031,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3858,		3170,		99.21
29.010273,		1.000113,		246,		81,		0,		0.00,		1044569248,		23.61,		24.84,		24.13,		5.677e-05,		-5044,		-4874,		-4960,		2.492,		0,		0,		0,		0,		114.8,		0.539,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		3991,		3281,		98.96
30.010647,		1.000137,		243,		82,		0,		0.00,		1032015444,		23.66,		25.78,		24.2,		7.107e-05,		-5218,		-5047,		-5133,		2.503,		0,		0,		0,		0,		118.8,		0.539,		57760,		0,		0,		0,		13284,		0,		0,		0,		16,		0,		0,		0,		4126,		3392,		99.21
