Experiment id: f8be56eb-bfd7-488a-b614-71adfe889e4e
Performance Test Version: 2113db4
Logfile name: 0254479a-254c-492e-a49e-098e5e2a0803.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: VOLATILE History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 500
Topic name: PointCloud1m
Msg name: PointCloud1m
Maximum runtime (sec): 30
Number of publishers: 1
Number of subscribers: 3
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
6.001025,		1.000174,		951,		317,		0,		0.00,		1002496344,		5.98,		6.584,		6.252,		1.427e-05,		-2188,		-1826,		-2007,		11.02,		0,		0,		0,		0,		22.97,		0.3817,		25364,		0,		0,		0,		4061,		0,		0,		0,		8,		0,		0,		0,		2757,		412,		3.574e-07
7.001582,		1.000105,		954,		317,		0,		0.00,		1005269619,		5.998,		6.6,		6.253,		1.469e-05,		-2553,		-2190,		-2372,		11.09,		0,		0,		0,		0,		26.79,		0.4298,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		3187,		476,		96.7
8.001912,		1.000103,		951,		317,		0,		0.00,		1002346057,		5.909,		6.623,		6.255,		1.482e-05,		-2917,		-2554,		-2736,		11.04,		0,		0,		0,		0,		30.61,		0.4778,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		3610,		538,		96.72
9.002244,		1.000099,		954,		318,		0,		0.00,		1005496407,		5.966,		6.581,		6.241,		1.565e-05,		-3280,		-2918,		-3098,		10.94,		0,		0,		0,		0,		34.44,		0.5101,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		4044,		606,		96.72
10.002589,		1.000109,		951,		317,		0,		0.00,		1002331371,		5.925,		6.733,		6.255,		1.534e-05,		-3644,		-3281,		-3463,		10.94,		0,		0,		0,		0,		38.28,		0.55,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		4456,		666,		96.72
11.002900,		1.000085,		951,		317,		0,		0.00,		1002364517,		5.227,		7.309,		6.254,		2.129e-05,		-4008,		-3645,		-3826,		11.08,		0,		0,		0,		0,		42.09,		0.5941,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		4885,		740,		96.47
12.003235,		1.000100,		954,		318,		0,		0.00,		1005493342,		5.912,		6.628,		6.237,		1.603e-05,		-4370,		-4009,		-4190,		10.95,		0,		0,		0,		0,		45.89,		0.6585,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		5326,		803,		96.47
13.003609,		1.000110,		953,		318,		0,		0.00,		1004403216,		5.854,		6.651,		6.245,		1.709e-05,		-4732,		-4371,		-4552,		10.91,		0,		0,		0,		0,		49.71,		0.7067,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		5749,		859,		96.71
14.003913,		1.000128,		955,		318,		0,		0.00,		1006575004,		5.932,		6.684,		6.235,		1.637e-05,		-5095,		-4734,		-4914,		10.93,		0,		0,		0,		0,		53.54,		0.7471,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		6186,		924,		96.47
15.004230,		1.000097,		954,		318,		0,		0.00,		1005511104,		5.95,		6.63,		6.241,		1.407e-05,		-5458,		-5096,		-5277,		10.94,		0,		0,		0,		0,		57.36,		0.7914,		25364,		0,		0,		0,		4062,		0,		0,		0,		8,		0,		0,		0,		6638,		975,		96.97
