Experiment id: ad06b587-4fc8-4eee-bc0f-e96b55f43d26
Performance Test Version: 2113db4
Logfile name: pub_node_rmw_cyclonedds_cpp_9.csv
Communication mean: RCLCPP_SINGLE_THREADED_EXECUTOR
RMW Implementation: rmw_cyclonedds_cpp
DDS domain id: 0
QOS: Reliability: RELIABLE Durability: TRANSIENT_LOCAL History kind: KEEP_LAST History depth: 100 Sync. pub/sub: 0
Publishing rate: 500
Topic name: Struct16
Msg name: Struct16
Maximum runtime (sec): 35
Number of publishers: 1
Number of subscribers: 0
Memory check enabled: 0
Use single participant: 0
With security: 0
Zero copy transfer: 0
Roundtrip Mode: NONE
Ignore seconds from beginning: 5

---EXPERIMENT-START---
T_experiment,	T_loop,	received,	sent,	lost,	relative_loss,	data_received,	latency_min (ms),	latency_max (ms),	latency_mean (ms),	latency_variance (ms),	pub_loop_res_min (ms),	pub_loop_res_max (ms),	pub_loop_res_mean (ms),	pub_loop_res_variance (ms),	sub_loop_res_min (ms),	sub_loop_res_max (ms),	sub_loop_res_mean (ms),	sub_loop_res_variance (ms),	ru_utime,	ru_stime,	ru_maxrss,	ru_ixrss,	ru_idrss,	ru_isrss,	ru_minflt,	ru_majflt,	ru_nswap,	ru_inblock,	ru_oublock,	ru_msgsnd,	ru_msgrcv,	ru_nsignals,	ru_nvcsw,	ru_nivcsw,	cpu_usage (%)
21.001886,		1.000059,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.892,		1.918,		1.906,		1.468e-08,		inf,		-inf,		0,		0,		0.5746,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		20626,		22,		0.25
22.001978,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.889,		1.919,		1.905,		1.653e-08,		inf,		-inf,		0,		0,		0.6062,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		21642,		25,		0.25
23.002077,		1.000064,		0,		500,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.874,		1.917,		1.905,		2.173e-08,		inf,		-inf,		0,		0,		0.6372,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		22655,		28,		0.25
24.002184,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.885,		1.918,		1.907,		2.006e-08,		inf,		-inf,		0,		0,		0.6679,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		23670,		29,		0.25
25.002275,		1.000056,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.89,		1.919,		1.905,		2.265e-08,		inf,		-inf,		0,		0,		0.6992,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		24684,		33,		0.25
26.002365,		1.000055,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.89,		1.916,		1.904,		2.041e-08,		inf,		-inf,		0,		0,		0.7305,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		25695,		37,		0.3333
27.002457,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.875,		1.92,		1.907,		2.398e-08,		inf,		-inf,		0,		0,		0.7607,		0,		13612,		0,		0,		0,		1087,		0,		0,		0,		16,		0,		0,		0,		26706,		42,		0.25
28.002548,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.896,		1.919,		1.909,		1.592e-08,		inf,		-inf,		0,		0,		0.7912,		0,		13612,		0,		0,		0,		1089,		0,		0,		0,		16,		0,		0,		0,		27742,		44,		0.25
29.002640,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.895,		1.925,		1.909,		1.311e-08,		inf,		-inf,		0,		0,		0.8209,		0,		13612,		0,		0,		0,		1089,		0,		0,		0,		16,		0,		0,		0,		28753,		44,		0.25
30.002733,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.895,		1.947,		1.909,		1.602e-08,		inf,		-inf,		0,		0,		0.8497,		0,		13612,		0,		0,		0,		1089,		0,		0,		0,		16,		0,		0,		0,		29769,		44,		0.1667
31.002825,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.499,		1.92,		1.907,		3.48e-07,		inf,		-inf,		0,		0,		0.8807,		0,		13612,		0,		0,		0,		1089,		0,		0,		0,		16,		0,		0,		0,		30780,		44,		0.3333
32.002918,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.889,		1.917,		1.905,		2.099e-08,		inf,		-inf,		0,		0,		0.912,		0,		13612,		0,		0,		0,		1089,		0,		0,		0,		16,		0,		0,		0,		31794,		46,		0.25
33.003010,		1.000057,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.85,		1.949,		1.904,		4.686e-08,		inf,		-inf,		0,		0,		0.943,		0,		13612,		0,		0,		0,		1090,		0,		0,		0,		16,		0,		0,		0,		32808,		53,		0.25
34.003136,		1.000092,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.883,		1.947,		1.94,		1.398e-07,		inf,		-inf,		0,		0,		0.943,		0.02053,		13612,		0,		0,		0,		1113,		0,		0,		0,		16,		0,		0,		0,		34433,		58,		0.1666
35.003288,		1.000094,		0,		499,		0,		0.00,		0,		inf,		-inf,		0,		0,		1.941,		1.946,		1.944,		2.24e-09,		inf,		-inf,		0,		0,		0.943,		0.02234,		13612,		0,		0,		0,		1113,		0,		0,		0,		16,		0,		0,		0,		34934,		58,		0
